Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Year,Month,Region
31,31,Fare system needs better explanation.,Neutral,2023-01-25 16:39:00,User31,Instagram,#PublicTransit #FareChange,89,161,2023,1,Rusizi
32,32,Why does my daily route cost more now?,Neutral,2023-01-22 00:36:00,User32,Instagram,#BusLife #DistanceFareModel,24,160,2023,1,Huye
33,33,Great idea for long-distance commuters.,Positive,2023-01-19 19:22:00,User33,Facebook,#PublicTransit #FareChange,71,199,2023,1,Huye
34,34,Confusing fares! Miss the old days.,Positive,2023-01-03 11:12:00,User34,Twitter,#BusLife #DistanceFareModel,71,46,2023,1,Rwamagana
35,35,I’m not sure how I feel about the fare change.,Negative,2023-01-09 12:53:00,User35,Facebook,#CityTransit #RwandaMoves,56,21,2023,1,Ngoma
36,36,I’m not sure how I feel about the fare change.,Negative,2023-01-24 14:16:00,User36,Facebook,#CommuteStories #Transport,71,122,2023,1,Rwamagana
37,37,Traveling from Nyamirambo to town is cheaper now.,Positive,2023-01-17 11:09:00,User37,Facebook,#DistanceFare #RwandaTransport,60,192,2023,1,Ngoma
38,38,I’m not sure how I feel about the fare change.,Positive,2023-01-29 08:04:00,User38,Instagram,#KigaliCommute #BusTalk,64,22,2023,1,Kicukiro
39,39,Confusing fares! Miss the old days.,Neutral,2023-01-23 16:29:00,User39,Instagram,#CityTransit #RwandaMoves,73,32,2023,1,Gasabo
40,40,Confusing fares! Miss the old days.,Positive,2023-01-29 11:06:00,User40,Instagram,#CityTransit #RwandaMoves,12,108,2023,1,Huye
41,41,New fare structure is a relief for some routes.,Positive,2023-01-21 02:49:00,User41,Twitter,#CommuteStories #Transport,60,114,2023,1,Huye
42,42,Fare system needs better explanation.,Negative,2023-01-03 08:22:00,User42,Twitter,#DistanceFare #RwandaTransport,16,39,2023,1,Nyarugenge
43,43,"Spending less on short trips, finally!",Negative,2023-01-10 06:20:00,User43,Facebook,#CityTransit #RwandaMoves,30,26,2023,1,Rwamagana
44,44,This pricing is not fair for daily riders.,Neutral,2023-01-13 03:41:00,User44,Instagram,#CityTransit #RwandaMoves,82,122,2023,1,Huye
45,45,Enjoying my commute again!,Positive,2023-01-25 23:53:00,User45,Instagram,#CommuteStories #Transport,48,71,2023,1,Huye
46,46,I’m not sure how I feel about the fare change.,Negative,2023-01-06 23:06:00,User46,Twitter,#CityTransit #RwandaMoves,27,93,2023,1,Nyarugenge
47,47,Traveling from Nyamirambo to town is cheaper now.,Positive,2023-01-14 02:36:00,User47,Twitter,#BusLife #DistanceFareModel,13,121,2023,1,Gasabo
48,48,I’m not sure how I feel about the fare change.,Positive,2023-01-20 22:32:00,User48,Instagram,#BusLife #DistanceFareModel,98,95,2023,1,Musanze
49,49,Enjoying my commute again!,Neutral,2023-01-23 01:26:00,User49,Instagram,#DistanceFare #RwandaTransport,69,150,2023,1,Rubavu
50,50,Fare system needs better explanation.,Positive,2023-01-06 12:37:00,User50,Twitter,#BusLife #DistanceFareModel,23,196,2023,1,Rusizi
51,51,New fare structure is a relief for some routes.,Neutral,2023-01-02 07:31:00,User51,Twitter,#BusLife #DistanceFareModel,18,28,2023,1,Gasabo
52,52,Confusing fares! Miss the old days.,Negative,2023-01-29 16:09:00,User52,Instagram,#CityTransit #RwandaMoves,99,186,2023,1,Kicukiro
53,53,New fare structure is a relief for some routes.,Negative,2023-01-28 17:03:00,User53,Facebook,#KigaliCommute #BusTalk,62,109,2023,1,Nyarugenge
54,54,Great idea for long-distance commuters.,Negative,2023-01-11 21:22:00,User54,Facebook,#BusLife #DistanceFareModel,11,149,2023,1,Rwamagana
55,55,I’m not sure how I feel about the fare change.,Negative,2023-01-08 04:59:00,User55,Facebook,#DistanceFare #RwandaTransport,93,198,2023,1,Kicukiro
56,56,"Spending less on short trips, finally!",Neutral,2023-01-15 03:25:00,User56,Facebook,#BusLife #DistanceFareModel,69,156,2023,1,Musanze
57,57,Great idea for long-distance commuters.,Neutral,2023-01-26 01:39:00,User57,Instagram,#CityTransit #RwandaMoves,80,85,2023,1,Rusizi
58,58,Fare system needs better explanation.,Negative,2023-01-01 14:56:00,User58,Facebook,#PublicTransit #FareChange,53,18,2023,1,Rusizi
59,59,I’m not sure how I feel about the fare change.,Negative,2023-01-26 03:12:00,User59,Facebook,#CityTransit #RwandaMoves,17,37,2023,1,Huye
60,60,Great idea for long-distance commuters.,Negative,2023-01-19 13:38:00,User60,Twitter,#CommuteStories #Transport,56,137,2023,1,Ngoma
61,61,I’m not sure how I feel about the fare change.,Neutral,2023-01-05 05:48:00,User61,Facebook,#DistanceFare #RwandaTransport,44,61,2023,1,Rubavu
62,62,Traveling from Nyamirambo to town is cheaper now.,Negative,2023-01-11 05:25:00,User62,Twitter,#BusLife #DistanceFareModel,87,92,2023,1,Ngoma
63,63,Fare system needs better explanation.,Neutral,2023-01-06 03:55:00,User63,Twitter,#CommuteStories #Transport,90,120,2023,1,Nyarugenge
64,64,This pricing is not fair for daily riders.,Positive,2023-01-22 00:01:00,User64,Instagram,#BusLife #DistanceFareModel,45,153,2023,1,Gasabo
65,65,Confusing fares! Miss the old days.,Negative,2023-01-06 08:18:00,User65,Instagram,#PublicTransit #FareChange,59,126,2023,1,Huye
66,66,Why does my daily route cost more now?,Neutral,2023-01-30 11:28:00,User66,Instagram,#KigaliCommute #BusTalk,13,78,2023,1,Rwamagana
67,67,Confusing fares! Miss the old days.,Neutral,2023-01-08 00:10:00,User67,Instagram,#PublicTransit #FareChange,11,108,2023,1,Nyarugenge
68,68,Confusing fares! Miss the old days.,Neutral,2023-01-23 16:21:00,User68,Twitter,#CityTransit #RwandaMoves,15,149,2023,1,Kicukiro
69,69,Great idea for long-distance commuters.,Positive,2023-01-14 06:47:00,User69,Instagram,#CityTransit #RwandaMoves,63,34,2023,1,Musanze
70,70,Fare system needs better explanation.,Negative,2023-01-24 03:49:00,User70,Twitter,#CommuteStories #Transport,13,189,2023,1,Kicukiro
71,71,I’m not sure how I feel about the fare change.,Neutral,2023-01-13 10:39:00,User71,Instagram,#CommuteStories #Transport,63,132,2023,1,Nyarugenge
72,72,New fare structure is a relief for some routes.,Negative,2023-01-19 21:49:00,User72,Facebook,#CityTransit #RwandaMoves,72,62,2023,1,Musanze
73,73,Why does my daily route cost more now?,Neutral,2023-01-22 23:01:00,User73,Facebook,#DistanceFare #RwandaTransport,27,160,2023,1,Rusizi
74,74,Enjoying my commute again!,Negative,2023-01-22 11:47:00,User74,Twitter,#CityTransit #RwandaMoves,99,153,2023,1,Kicukiro
75,75,Great idea for long-distance commuters.,Positive,2023-01-12 02:13:00,User75,Facebook,#CityTransit #RwandaMoves,53,66,2023,1,Ngoma
76,76,Why does my daily route cost more now?,Neutral,2023-01-21 18:55:00,User76,Facebook,#BusLife #DistanceFareModel,43,48,2023,1,Nyarugenge
77,77,This pricing is not fair for daily riders.,Neutral,2023-01-26 02:07:00,User77,Twitter,#PublicTransit #FareChange,83,118,2023,1,Nyarugenge
78,78,Traveling from Nyamirambo to town is cheaper now.,Positive,2023-01-07 13:59:00,User78,Facebook,#DistanceFare #RwandaTransport,71,190,2023,1,Ngoma
79,79,Fare system needs better explanation.,Negative,2023-01-18 10:58:00,User79,Facebook,#BusLife #DistanceFareModel,23,51,2023,1,Gasabo
80,80,Enjoying my commute again!,Neutral,2023-01-09 16:11:00,User80,Facebook,#KigaliCommute #BusTalk,57,195,2023,1,Rubavu
81,81,Great idea for long-distance commuters.,Positive,2023-01-28 06:40:00,User81,Instagram,#DistanceFare #RwandaTransport,24,176,2023,1,Ngoma
82,82,Confusing fares! Miss the old days.,Neutral,2023-01-24 03:08:00,User82,Twitter,#BusLife #DistanceFareModel,81,151,2023,1,Rusizi
83,83,"Spending less on short trips, finally!",Neutral,2023-01-07 05:06:00,User83,Instagram,#CityTransit #RwandaMoves,87,131,2023,1,Rwamagana
84,84,Great idea for long-distance commuters.,Neutral,2023-01-04 04:15:00,User84,Facebook,#BusLife #DistanceFareModel,96,142,2023,1,Rwamagana
85,85,"Spending less on short trips, finally!",Negative,2023-01-13 13:44:00,User85,Facebook,#CommuteStories #Transport,71,172,2023,1,Rusizi
86,86,Confusing fares! Miss the old days.,Positive,2023-01-19 21:13:00,User86,Instagram,#DistanceFare #RwandaTransport,49,84,2023,1,Kicukiro
87,87,Traveling from Nyamirambo to town is cheaper now.,Positive,2023-01-16 11:14:00,User87,Facebook,#CityTransit #RwandaMoves,94,155,2023,1,Rwamagana
88,88,Fare system needs better explanation.,Positive,2023-01-24 02:35:00,User88,Twitter,#PublicTransit #FareChange,89,85,2023,1,Rusizi
89,89,I’m not sure how I feel about the fare change.,Positive,2023-01-13 03:49:00,User89,Twitter,#BusLife #DistanceFareModel,91,18,2023,1,Ngoma
90,90,Great idea for long-distance commuters.,Neutral,2023-01-01 02:48:00,User90,Twitter,#CityTransit #RwandaMoves,62,83,2023,1,Huye
91,91,New fare structure is a relief for some routes.,Negative,2023-01-13 20:56:00,User91,Facebook,#DistanceFare #RwandaTransport,33,195,2023,1,Gasabo
92,92,Confusing fares! Miss the old days.,Positive,2023-01-14 14:06:00,User92,Twitter,#CommuteStories #Transport,35,154,2023,1,Rubavu
93,93,Great idea for long-distance commuters.,Negative,2023-01-27 17:05:00,User93,Twitter,#CommuteStories #Transport,98,16,2023,1,Kicukiro
94,94,This pricing is not fair for daily riders.,Positive,2023-01-27 09:25:00,User94,Facebook,#DistanceFare #RwandaTransport,69,183,2023,1,Rusizi
95,95,Traveling from Nyamirambo to town is cheaper now.,Positive,2023-01-31 00:49:00,User95,Instagram,#DistanceFare #RwandaTransport,50,150,2023,1,Ngoma
96,96,This pricing is not fair for daily riders.,Neutral,2023-01-23 06:49:00,User96,Instagram,#BusLife #DistanceFareModel,38,177,2023,1,Kicukiro
97,97,Why does my daily route cost more now?,Neutral,2023-01-07 18:18:00,User97,Facebook,#CityTransit #RwandaMoves,24,179,2023,1,Nyarugenge
98,98,Fare system needs better explanation.,Neutral,2023-01-21 07:44:00,User98,Twitter,#PublicTransit #FareChange,54,146,2023,1,Rubavu
99,99,Why does my daily route cost more now?,Negative,2023-01-25 12:16:00,User99,Instagram,#DistanceFare #RwandaTransport,74,187,2023,1,Ngoma
100,100,Great idea for long-distance commuters.,Neutral,2023-01-23 01:01:00,User100,Instagram,#DistanceFare #RwandaTransport,98,36,2023,1,Huye
101,101,Enjoying my commute again!,Neutral,2023-01-16 16:58:00,User101,Instagram,#KigaliCommute #BusTalk,80,131,2023,1,Kicukiro
102,102,Enjoying my commute again!,Positive,2023-01-16 03:06:00,User102,Facebook,#CommuteStories #Transport,18,14,2023,1,Musanze
103,103,Fare system needs better explanation.,Positive,2023-01-26 02:50:00,User103,Instagram,#KigaliCommute #BusTalk,97,38,2023,1,Musanze
104,104,New fare structure is a relief for some routes.,Neutral,2023-01-25 17:34:00,User104,Instagram,#PublicTransit #FareChange,10,174,2023,1,Rwamagana
105,105,Traveling from Nyamirambo to town is cheaper now.,Neutral,2023-01-18 04:00:00,User105,Facebook,#DistanceFare #RwandaTransport,17,175,2023,1,Rubavu
106,106,New fare structure is a relief for some routes.,Negative,2023-01-21 17:21:00,User106,Facebook,#BusLife #DistanceFareModel,97,92,2023,1,Gasabo
107,107,Traveling from Nyamirambo to town is cheaper now.,Negative,2023-01-15 15:28:00,User107,Facebook,#CommuteStories #Transport,72,145,2023,1,Musanze
108,108,Confusing fares! Miss the old days.,Positive,2023-01-09 14:03:00,User108,Instagram,#KigaliCommute #BusTalk,20,118,2023,1,Gasabo
109,109,Great idea for long-distance commuters.,Negative,2023-01-11 20:50:00,User109,Instagram,#CommuteStories #Transport,90,74,2023,1,Kicukiro
110,110,Why does my daily route cost more now?,Neutral,2023-01-27 00:33:00,User110,Facebook,#KigaliCommute #BusTalk,17,95,2023,1,Kicukiro
111,111,Enjoying my commute again!,Neutral,2023-01-18 10:18:00,User111,Twitter,#DistanceFare #RwandaTransport,44,154,2023,1,Rusizi
112,112,This pricing is not fair for daily riders.,Positive,2023-01-11 15:06:00,User112,Facebook,#CityTransit #RwandaMoves,44,80,2023,1,Rubavu
113,113,I’m not sure how I feel about the fare change.,Neutral,2023-01-19 16:40:00,User113,Instagram,#CityTransit #RwandaMoves,42,54,2023,1,Huye
114,114,"Spending less on short trips, finally!",Neutral,2023-01-02 23:40:00,User114,Instagram,#BusLife #DistanceFareModel,14,141,2023,1,Nyarugenge
115,115,I’m not sure how I feel about the fare change.,Neutral,2023-01-15 11:32:00,User115,Facebook,#PublicTransit #FareChange,50,45,2023,1,Ngoma
116,116,Why does my daily route cost more now?,Neutral,2023-01-22 12:36:00,User116,Twitter,#CommuteStories #Transport,37,79,2023,1,Musanze
117,117,Why does my daily route cost more now?,Negative,2023-01-18 08:24:00,User117,Twitter,#PublicTransit #FareChange,16,168,2023,1,Huye
118,118,Traveling from Nyamirambo to town is cheaper now.,Negative,2023-01-18 13:42:00,User118,Instagram,#KigaliCommute #BusTalk,82,28,2023,1,Rusizi
119,119,New fare structure is a relief for some routes.,Negative,2023-01-31 04:55:00,User119,Twitter,#DistanceFare #RwandaTransport,81,198,2023,1,Ngoma
120,120,I’m not sure how I feel about the fare change.,Negative,2023-01-30 16:10:00,User120,Twitter,#BusLife #DistanceFareModel,21,117,2023,1,Rubavu
121,121,Traveling from Nyamirambo to town is cheaper now.,Negative,2023-01-07 22:08:00,User121,Twitter,#CityTransit #RwandaMoves,43,191,2023,1,Ngoma
122,122,Traveling from Nyamirambo to town is cheaper now.,Positive,2023-01-23 13:01:00,User122,Facebook,#CityTransit #RwandaMoves,42,176,2023,1,Nyarugenge
123,123,New fare structure is a relief for some routes.,Neutral,2023-01-02 16:26:00,User123,Instagram,#BusLife #DistanceFareModel,57,100,2023,1,Ngoma
124,124,This pricing is not fair for daily riders.,Positive,2023-01-06 17:53:00,User124,Facebook,#CommuteStories #Transport,32,99,2023,1,Rubavu
125,125,Enjoying my commute again!,Neutral,2023-01-23 20:38:00,User125,Twitter,#PublicTransit #FareChange,71,28,2023,1,Huye
126,126,Fare system needs better explanation.,Neutral,2023-01-27 20:38:00,User126,Instagram,#KigaliCommute #BusTalk,97,48,2023,1,Nyarugenge
127,127,Enjoying my commute again!,Neutral,2023-01-16 02:37:00,User127,Facebook,#PublicTransit #FareChange,46,135,2023,1,Gasabo
128,128,"Spending less on short trips, finally!",Positive,2023-01-05 13:37:00,User128,Instagram,#CityTransit #RwandaMoves,53,182,2023,1,Rusizi
129,129,I’m not sure how I feel about the fare change.,Neutral,2023-01-21 00:55:00,User129,Facebook,#BusLife #DistanceFareModel,95,150,2023,1,Ngoma
130,130,Enjoying my commute again!,Neutral,2023-01-05 12:54:00,User130,Instagram,#CityTransit #RwandaMoves,44,135,2023,1,Kicukiro
131,131,Fare system needs better explanation.,Negative,2023-01-24 22:28:00,User131,Facebook,#DistanceFare #RwandaTransport,74,67,2023,1,Musanze
132,132,Confusing fares! Miss the old days.,Negative,2023-01-21 19:05:00,User132,Twitter,#CityTransit #RwandaMoves,56,157,2023,1,Rwamagana
133,133,I’m not sure how I feel about the fare change.,Neutral,2023-01-01 16:45:00,User133,Facebook,#KigaliCommute #BusTalk,87,70,2023,1,Ngoma
134,134,Fare system needs better explanation.,Negative,2023-01-07 13:27:00,User134,Twitter,#CommuteStories #Transport,12,136,2023,1,Gasabo
135,135,Traveling from Nyamirambo to town is cheaper now.,Positive,2023-01-19 15:48:00,User135,Facebook,#CommuteStories #Transport,10,114,2023,1,Ngoma
136,136,Why does my daily route cost more now?,Neutral,2023-01-30 19:11:00,User136,Twitter,#DistanceFare #RwandaTransport,14,176,2023,1,Rubavu
137,137,This pricing is not fair for daily riders.,Positive,2023-01-08 00:36:00,User137,Twitter,#KigaliCommute #BusTalk,99,10,2023,1,Huye
138,138,"Spending less on short trips, finally!",Negative,2023-01-04 09:43:00,User138,Facebook,#BusLife #DistanceFareModel,23,140,2023,1,Huye
139,139,Fare system needs better explanation.,Negative,2023-01-22 08:48:00,User139,Facebook,#PublicTransit #FareChange,36,101,2023,1,Kicukiro
140,140,Enjoying my commute again!,Positive,2023-01-13 01:28:00,User140,Instagram,#BusLife #DistanceFareModel,18,199,2023,1,Rusizi
141,141,Why does my daily route cost more now?,Neutral,2023-01-16 09:47:00,User141,Facebook,#PublicTransit #FareChange,88,122,2023,1,Kicukiro
142,142,Enjoying my commute again!,Negative,2023-01-29 08:45:00,User142,Instagram,#CommuteStories #Transport,24,162,2023,1,Rusizi
143,143,I’m not sure how I feel about the fare change.,Negative,2023-01-19 02:09:00,User143,Facebook,#CityTransit #RwandaMoves,99,65,2023,1,Rubavu
144,144,Fare system needs better explanation.,Negative,2023-01-30 13:47:00,User144,Instagram,#CityTransit #RwandaMoves,51,170,2023,1,Musanze
145,145,Enjoying my commute again!,Positive,2023-01-04 15:43:00,User145,Twitter,#DistanceFare #RwandaTransport,86,175,2023,1,Rwamagana
146,146,New fare structure is a relief for some routes.,Positive,2023-01-15 22:52:00,User146,Facebook,#BusLife #DistanceFareModel,60,126,2023,1,Rusizi
147,147,Great idea for long-distance commuters.,Negative,2023-01-31 16:34:00,User147,Twitter,#KigaliCommute #BusTalk,72,143,2023,1,Rwamagana
148,148,Why does my daily route cost more now?,Neutral,2023-01-25 06:51:00,User148,Facebook,#PublicTransit #FareChange,61,67,2023,1,Huye
149,149,Confusing fares! Miss the old days.,Positive,2023-01-18 07:04:00,User149,Instagram,#CityTransit #RwandaMoves,13,53,2023,1,Huye
150,150,Why does my daily route cost more now?,Neutral,2023-01-15 09:52:00,User150,Facebook,#DistanceFare #RwandaTransport,32,182,2023,1,Gasabo
151,151,Enjoying my commute again!,Positive,2023-01-29 12:37:00,User151,Instagram,#BusLife #DistanceFareModel,24,169,2023,1,Rwamagana
152,152,Enjoying my commute again!,Positive,2023-01-23 04:58:00,User152,Instagram,#KigaliCommute #BusTalk,52,182,2023,1,Rusizi
153,153,"Spending less on short trips, finally!",Neutral,2023-01-25 14:56:00,User153,Facebook,#CommuteStories #Transport,38,70,2023,1,Rwamagana
154,154,New fare structure is a relief for some routes.,Neutral,2023-01-02 15:12:00,User154,Twitter,#KigaliCommute #BusTalk,45,56,2023,1,Rubavu
155,155,Confusing fares! Miss the old days.,Neutral,2023-01-29 02:25:00,User155,Facebook,#CommuteStories #Transport,22,158,2023,1,Gasabo
156,156,This pricing is not fair for daily riders.,Positive,2023-01-04 02:44:00,User156,Twitter,#BusLife #DistanceFareModel,41,89,2023,1,Gasabo
157,157,"Spending less on short trips, finally!",Neutral,2023-01-11 16:25:00,User157,Instagram,#KigaliCommute #BusTalk,80,127,2023,1,Nyarugenge
158,158,I’m not sure how I feel about the fare change.,Neutral,2023-01-29 17:23:00,User158,Facebook,#DistanceFare #RwandaTransport,68,173,2023,1,Rwamagana
159,159,Confusing fares! Miss the old days.,Neutral,2023-01-14 01:53:00,User159,Facebook,#BusLife #DistanceFareModel,95,156,2023,1,Rwamagana
160,160,Fare system needs better explanation.,Neutral,2023-01-11 08:28:00,User160,Twitter,#CommuteStories #Transport,37,29,2023,1,Huye
161,161,Great idea for long-distance commuters.,Neutral,2023-01-05 02:43:00,User161,Facebook,#DistanceFare #RwandaTransport,75,194,2023,1,Rwamagana
162,162,"Spending less on short trips, finally!",Neutral,2023-01-20 18:00:00,User162,Instagram,#CityTransit #RwandaMoves,51,155,2023,1,Kicukiro
163,163,Great idea for long-distance commuters.,Neutral,2023-01-05 11:31:00,User163,Facebook,#DistanceFare #RwandaTransport,54,56,2023,1,Kicukiro
164,164,New fare structure is a relief for some routes.,Positive,2023-01-29 20:13:00,User164,Instagram,#CityTransit #RwandaMoves,71,58,2023,1,Rubavu
165,165,I’m not sure how I feel about the fare change.,Neutral,2023-01-05 13:46:00,User165,Instagram,#DistanceFare #RwandaTransport,66,23,2023,1,Rwamagana
166,166,I’m not sure how I feel about the fare change.,Positive,2023-01-21 04:36:00,User166,Twitter,#CommuteStories #Transport,15,152,2023,1,Rusizi
167,167,This pricing is not fair for daily riders.,Negative,2023-01-08 13:42:00,User167,Twitter,#PublicTransit #FareChange,37,168,2023,1,Gasabo
168,168,I’m not sure how I feel about the fare change.,Negative,2023-01-14 15:05:00,User168,Instagram,#PublicTransit #FareChange,37,10,2023,1,Huye
169,169,Enjoying my commute again!,Positive,2023-01-02 07:37:00,User169,Twitter,#CityTransit #RwandaMoves,53,126,2023,1,Rusizi
170,170,Why does my daily route cost more now?,Neutral,2023-01-03 02:14:00,User170,Twitter,#CityTransit #RwandaMoves,93,63,2023,1,Gasabo
171,171,Why does my daily route cost more now?,Positive,2023-01-15 18:18:00,User171,Instagram,#KigaliCommute #BusTalk,39,127,2023,1,Rwamagana
172,172,This pricing is not fair for daily riders.,Negative,2023-01-03 13:17:00,User172,Facebook,#DistanceFare #RwandaTransport,71,12,2023,1,Rusizi
173,173,Enjoying my commute again!,Positive,2023-01-14 08:26:00,User173,Facebook,#DistanceFare #RwandaTransport,84,153,2023,1,Nyarugenge
174,174,Why does my daily route cost more now?,Negative,2023-01-17 07:32:00,User174,Twitter,#DistanceFare #RwandaTransport,98,194,2023,1,Rusizi
175,175,Fare system needs better explanation.,Positive,2023-01-18 01:25:00,User175,Twitter,#DistanceFare #RwandaTransport,71,21,2023,1,Kicukiro
176,176,Enjoying my commute again!,Positive,2023-01-20 14:25:00,User176,Instagram,#KigaliCommute #BusTalk,10,83,2023,1,Rwamagana
177,177,New fare structure is a relief for some routes.,Positive,2023-01-07 15:00:00,User177,Instagram,#CityTransit #RwandaMoves,36,25,2023,1,Musanze
178,178,Traveling from Nyamirambo to town is cheaper now.,Positive,2023-01-12 02:43:00,User178,Instagram,#PublicTransit #FareChange,71,111,2023,1,Rusizi
179,179,Great idea for long-distance commuters.,Positive,2023-01-25 04:10:00,User179,Instagram,#KigaliCommute #BusTalk,86,161,2023,1,Nyarugenge
180,180,Enjoying my commute again!,Negative,2023-01-19 18:04:00,User180,Facebook,#CommuteStories #Transport,12,165,2023,1,Rwamagana
181,181,Great idea for long-distance commuters.,Positive,2023-01-26 18:08:00,User181,Instagram,#KigaliCommute #BusTalk,79,126,2023,1,Rusizi
182,182,Fare system needs better explanation.,Positive,2023-01-09 04:40:00,User182,Instagram,#KigaliCommute #BusTalk,81,17,2023,1,Ngoma
183,183,Traveling from Nyamirambo to town is cheaper now.,Positive,2023-01-08 17:40:00,User183,Twitter,#KigaliCommute #BusTalk,36,131,2023,1,Nyarugenge
184,184,Confusing fares! Miss the old days.,Neutral,2023-01-08 23:13:00,User184,Instagram,#BusLife #DistanceFareModel,18,101,2023,1,Musanze
185,185,This pricing is not fair for daily riders.,Negative,2023-01-04 14:15:00,User185,Twitter,#CommuteStories #Transport,71,173,2023,1,Ngoma
186,186,Enjoying my commute again!,Positive,2023-01-28 17:43:00,User186,Instagram,#CityTransit #RwandaMoves,46,99,2023,1,Nyarugenge
187,187,This pricing is not fair for daily riders.,Negative,2023-01-18 09:50:00,User187,Instagram,#PublicTransit #FareChange,60,145,2023,1,Huye
